date,cases
2023-01-01,23
2023-01-02,15
2023-01-03,21
2023-01-04,25
2023-01-05,15
2023-01-06,17
2023-01-07,19
2023-01-08,21
2023-01-09,17
2023-01-10,19
2023-01-11,16
2023-01-12,22
2023-01-13,22
2023-01-14,18
2023-01-15,23
2023-01-16,16
2023-01-17,19
2023-01-18,20
2023-01-19,24
2023-01-20,25
2023-01-21,18
2023-01-22,23
2023-01-23,31
2023-01-24,24
2023-01-25,33
2023-01-26,33
2023-01-27,36
2023-01-28,31
2023-01-29,42
2023-01-30,36
2023-01-31,37
2023-02-01,46
2023-02-02,53
2023-02-03,44
2023-02-04,58
2023-02-05,63
2023-02-06,64
2023-02-07,66
2023-02-08,82
2023-02-09,81
2023-02-10,85
2023-02-11,94
2023-02-12,113
2023-02-13,119
2023-02-14,132
2023-02-15,133
2023-02-16,144
2023-02-17,159
2023-02-18,168
2023-02-19,198
2023-02-20,204
2023-02-21,233
2023-02-22,238
2023-02-23,253
2023-02-24,277
2023-02-25,286
2023-02-26,325
2023-02-27,334
2023-02-28,365
2023-03-01,383
2023-03-02,410
2023-03-03,440
2023-03-04,457
2023-03-05,488
2023-03-06,521
2023-03-07,547
2023-03-08,577
2023-03-09,607
2023-03-10,641
2023-03-11,659
2023-03-12,686
2023-03-13,722
2023-03-14,745
2023-03-15,779
2023-03-16,796
2023-03-17,830
2023-03-18,850
2023-03-19,873
2023-03-20,887
2023-03-21,915
2023-03-22,935
2023-03-23,954
2023-03-24,965
2023-03-25,982
2023-03-26,994
2023-03-27,995
2023-03-28,1007
2023-03-29,1022
2023-03-30,1022
2023-03-31,1021
2023-04-01,1013
2023-04-02,1012
2023-04-03,1012
2023-04-04,1009
2023-04-05,989
2023-04-06,985
2023-04-07,962
2023-04-08,960
2023-04-09,934
2023-04-10,908
2023-04-11,900
2023-04-12,875
2023-04-13,846
2023-04-14,824
2023-04-15,802
2023-04-16,775
2023-04-17,751
2023-04-18,716
2023-04-19,691
2023-04-20,660
2023-04-21,630
2023-04-22,591
2023-04-23,581
2023-04-24,542
2023-04-25,525
2023-04-26,495
2023-04-27,467
2023-04-28,441
2023-04-29,420
2023-04-30,391
2023-05-01,374
2023-05-02,346
2023-05-03,321
2023-05-04,307
2023-05-05,290
2023-05-06,281
2023-05-07,256
2023-05-08,239
2023-05-09,225
2023-05-10,206
2023-05-11,211
2023-05-12,198
2023-05-13,191
2023-05-14,182
2023-05-15,183
2023-05-16,184
2023-05-17,181
2023-05-18,186
2023-05-19,193
2023-05-20,190
2023-05-21,216
2023-05-22,216
2023-05-23,230
2023-05-24,256
2023-05-25,260
2023-05-26,279
2023-05-27,302
2023-05-28,327
2023-05-29,368
2023-05-30,398
2023-05-31,420
2023-06-01,464
2023-06-02,496
2023-06-03,542
2023-06-04,578
2023-06-05,622
2023-06-06,676
2023-06-07,720
2023-06-08,765
2023-06-09,813
2023-06-10,872
2023-06-11,926
2023-06-12,969
2023-06-13,1015
2023-06-14,1070
2023-06-15,1121
2023-06-16,1159
2023-06-17,1203
2023-06-18,1255
2023-06-19,1297
2023-06-20,1340
2023-06-21,1366
2023-06-22,1410
2023-06-23,1434
2023-06-24,1459
2023-06-25,1486
2023-06-26,1497
2023-06-27,1503
2023-06-28,1508
2023-06-29,1514
2023-06-30,1520
2023-07-01,1522
2023-07-02,1495
2023-07-03,1474
2023-07-04,1463
2023-07-05,1435
2023-07-06,1408
2023-07-07,1363
2023-07-08,1337
2023-07-09,1295
2023-07-10,1255
2023-07-11,1213
2023-07-12,1168
2023-07-13,1114
2023-07-14,1069
2023-07-15,1024
2023-07-16,976
2023-07-17,916
2023-07-18,871
2023-07-19,802
2023-07-20,456
2023-07-21,429
2023-07-22,402
2023-07-23,371
2023-07-24,348
2023-07-25,319
2023-07-26,301
2023-07-27,269
2023-07-28,251
2023-07-29,225
2023-07-30,210
2023-07-31,192
2023-08-01,176
2023-08-02,163
2023-08-03,142
2023-08-04,136
2023-08-05,123
2023-08-06,108
2023-08-07,101
2023-08-08,93
2023-08-09,91
2023-08-10,81
2023-08-11,75
2023-08-12,72
2023-08-13,68
2023-08-14,66
2023-08-15,58
2023-08-16,58
2023-08-17,58
2023-08-18,58
2023-08-19,66
2023-08-20,64
2023-08-21,62
2023-08-22,64
2023-08-23,67
2023-08-24,69
2023-08-25,74
2023-08-26,81
2023-08-27,86
2023-08-28,85
2023-08-29,98
2023-08-30,98
2023-08-31,106
2023-09-01,115
2023-09-02,120
2023-09-03,129
2023-09-04,132
2023-09-05,145
2023-09-06,151
2023-09-07,160
2023-09-08,169
2023-09-09,183
2023-09-10,195
2023-09-11,199
2023-09-12,215
2023-09-13,225
2023-09-14,236
2023-09-15,252
2023-09-16,264
2023-09-17,272
2023-09-18,287
2023-09-19,300
2023-09-20,313
2023-09-21,327
2023-09-22,349
2023-09-23,358
2023-09-24,381
2023-09-25,391
2023-09-26,409
2023-09-27,420
2023-09-28,437
2023-09-29,449
2023-09-30,466
2023-10-01,480
2023-10-02,498
2023-10-03,513
2023-10-04,527
2023-10-05,541
2023-10-06,560
2023-10-07,572
2023-10-08,585
2023-10-09,596
2023-10-10,618
2023-10-11,625
2023-10-12,634
2023-10-13,645
2023-10-14,660
2023-10-15,668
2023-10-16,678
2023-10-17,687
2023-10-18,695
2023-10-19,705
2023-10-20,708
2023-10-21,720
2023-10-22,721
2023-10-23,726
2023-10-24,724
2023-10-25,727
2023-10-26,730
2023-10-27,728
2023-10-28,733
2023-10-29,727
2023-10-30,729
2023-10-31,726
2023-11-01,718
2023-11-02,716
2023-11-03,709
2023-11-04,700
2023-11-05,696
2023-11-06,693
2023-11-07,681
2023-11-08,670
2023-11-09,658
2023-11-10,653
2023-11-11,636
2023-11-12,628
2023-11-13,613
2023-11-14,594
2023-11-15,588
2023-11-16,571
2023-11-17,558
2023-11-18,542
2023-11-19,531
2023-11-20,511
2023-11-21,495
2023-11-22,483
2023-11-23,472
2023-11-24,453
2023-11-25,433
2023-11-26,421
2023-11-27,404
2023-11-28,388
2023-11-29,376
2023-11-30,363
2023-12-01,346
2023-12-02,331
2023-12-03,315
2023-12-04,302
2023-12-05,291
2023-12-06,278
2023-12-07,261
2023-12-08,253
2023-12-09,239
2023-12-10,222
2023-12-11,217
2023-12-12,204
2023-12-13,190
2023-12-14,180
2023-12-15,169
2023-12-16,162
2023-12-17,156
2023-12-18,142
2023-12-19,136
2023-12-20,129
2023-12-21,121
2023-12-22,115
2023-12-23,109
2023-12-24,99
2023-12-25,91
2023-12-26,88
2023-12-27,79
2023-12-28,73
2023-12-29,70
2023-12-30,68
2023-12-31,60
